127.0.0.1 - - [02/Dec/2019:10:30:47 -0800] "GET / HTTP/1.1" 200 11330
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:30:48 -0800] "GET /SeCurethatA/Homepage.jsp HTTP/1.1" 200 8496
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:30:49 -0800] "GET /SeCurethatA/images/background1.jpg HTTP/1.1" 200 1319114
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:30:58 -0800] "GET /SeCurethatA/Homepage.jsp HTTP/1.1" 200 8496
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:30:59 -0800] "GET /SeCurethatA/images/background1.jpg HTTP/1.1" 200 1319114
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:32:46 -0800] "GET /SeCurethatA/LoginPage.jsp HTTP/1.1" 200 6414
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:32:46 -0800] "GET /SeCurethatA/LoginPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:32:46 -0800] "GET /SeCurethatA/home-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:32:55 -0800] "GET /SeCurethatA/LoginServlet?username=Yang&password=123&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:32:55 -0800] "GET /SeCurethatA/Homepage.jsp HTTP/1.1" 200 9148
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:32:56 -0800] "GET /SeCurethatA/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:33:19 -0800] "GET /SeCurethatA/SearchServlet?search-bar=CSCI201 HTTP/1.1" 200 11895
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:33:19 -0800] "GET /SeCurethatA/searchresults.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:33:19 -0800] "GET /SeCurethatA/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:33:24 -0800] "GET /SeCurethatA/Detail.jsp?courseName=CSCI201&courseDescription=Object-oriented%20paradigm%20for%20programming-in-the-large%20in%20Java;%20writing%20sophisticated%20concurrent%20applications%20with%20animation%20and%20graphic%20user%20interfaces;%20using%20professional%20tools%20on%20team%20project. HTTP/1.1" 200 15456
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:33:24 -0800] "GET /SeCurethatA/DetailPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:33:24 -0800] "GET /SeCurethatA/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:36:02 -0800] "GET /SeCurethatA/DetailServlet?term=2019%20Fall&professor=none&courseName=CSCI201 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:36:03 -0800] "GET /SeCurethatA/chartServlet?term=2019%20Fall&course=CSCI201 HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:36:39 -0800] "GET /SeCurethatA/DetailServlet?term=2019%20Spring&professor=none&courseName=CSCI201 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:36:39 -0800] "GET /SeCurethatA/chartServlet?term=2019%20Spring&course=CSCI201 HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:36:45 -0800] "GET /SeCurethatA/DetailServlet?term=2020%20Summer&professor=none&courseName=CSCI201 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:36:46 -0800] "GET /SeCurethatA/chartServlet?term=2020%20Summer&course=CSCI201 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:44:42 -0800] "GET /SeCurethatA/DetailServlet?term=2020%20Summer&professor=olivera%20grujic&courseName=CSCI201 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:53:36 -0800] "GET /SeCurethatA/DetailServlet?term=2020%20Summer&professor=mark%20redekopp&courseName=CSCI201 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:54:26 -0800] "GET /SeCurethatA/Homepage.jsp HTTP/1.1" 200 9148
0:0:0:0:0:0:0:1 - - [02/Dec/2019:10:54:27 -0800] "GET /SeCurethatA/ws HTTP/1.1" 101 -
